"solution","res","subdomain","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.17939,2.2693e-14,0,1,0,0,0,0
0.17898,1.8541e-14,0,1,0.0125,0,0,0.0125
0.17822,8.9037e-16,0,1,0.025,0,0,0.025
0.177,-3.4115e-14,0,1,0.0375,0,0,0.0375
0.1751,2.4701e-15,0,1,0.05,0,0,0.05
0.17288,2.7834e-14,0,1,0.0625,0,0,0.0625
0.17015,6.0125e-15,0,1,0.075,0,0,0.075
0.16693,1.888e-14,0,1,0.0875,0,0,0.0875
0.16342,2.8035e-14,0,1,0.1,0,0,0.1
0.15944,-2.9003e-14,0,1,0.1125,0,0,0.1125
0.15514,7.8976e-15,0,1,0.125,0,0,0.125
0.15063,9.7467e-14,0,1,0.1375,0,0,0.1375
0.14574,1.3162e-13,0,1,0.15,0,0,0.15
0.14067,1.1886e-13,0,1,0.1625,0,0,0.1625
0.13542,5.9165e-14,0,1,0.175,0,0,0.175
0.13027,4.0233e-14,0,1,0.1875,0,0,0.1875
0.12495,2.3269e-14,0,1,0.2,0,0,0.2
0.11935,5.056e-15,0,1,0.2125,0,0,0.2125
0.11375,-1.3157e-14,0,1,0.225,0,0,0.225
0.10817,-3.2053e-14,0,1,0.2375,0,0,0.2375
0.10267,-5.2993e-14,0,1,0.25,0,0,0.25
0.097164,-7.3933e-14,0,1,0.2625,0,0,0.2625
0.091703,-8.3206e-14,0,1,0.275,0,0,0.275
0.086547,-1.0805e-14,0,1,0.2875,0,0,0.2875
0.081392,6.1597e-14,0,1,0.3,0,0,0.3
0.076236,1.34e-13,0,1,0.3125,0,0,0.3125
0.071602,8.9691e-14,0,1,0.325,0,0,0.325
0.066968,4.5383e-14,0,1,0.3375,0,0,0.3375
0.062334,1.0745e-15,0,1,0.35,0,0,0.35
0.058235,2.294e-14,0,1,0.3625,0,0,0.3625
0.054212,5.426e-14,0,1,0.375,0,0,0.375
0.050189,8.5579e-14,0,1,0.3875,0,0,0.3875
0.046641,8.5412e-14,0,1,0.4,0,0,0.4
0.043251,7.475e-14,0,1,0.4125,0,0,0.4125
0.039861,6.4087e-14,0,1,0.425,0,0,0.425
0.036848,6.6317e-14,0,1,0.4375,0,0,0.4375
0.034061,7.6282e-14,0,1,0.45,0,0,0.45
0.031274,8.6247e-14,0,1,0.4625,0,0,0.4625
0.028759,4.2065e-14,0,1,0.475,0,0,0.475
0.026516,-5.6264e-14,0,1,0.4875,0,0,0.4875
0.024273,-1.5459e-13,0,1,0.5,0,0,0.5
0.022205,-1.9409e-13,0,1,0.5125,0,0,0.5125
0.02043,-1.3554e-13,0,1,0.525,0,0,0.525
0.018654,-7.6992e-14,0,1,0.5375,0,0,0.5375
0.016975,-2.8812e-15,0,1,0.55,0,0,0.55
0.015586,1.1791e-13,0,1,0.5625,0,0,0.5625
0.014196,2.387e-13,0,1,0.575,0,0,0.575
0.012848,3.2417e-13,0,1,0.5875,0,0,0.5875
0.011793,1.6233e-13,0,1,0.6,0,0,0.6
0.010738,5.0507e-16,0,1,0.6125,0,0,0.6125
0.0096836,-1.6132e-13,0,1,0.625,0,0,0.625
0.0089578,-2.7345e-13,0,1,0.6375,0,0,0.6375
0.008232,-3.8557e-13,0,1,0.65,0,0,0.65
0.0075062,-4.977e-13,0,1,0.6625,0,0,0.6625
0.0067805,-6.0982e-13,0,1,0.675,0,0,0.675
0.0060547,-7.2194e-13,0,1,0.6875,0,0,0.6875
0.0053289,-8.3407e-13,0,1,0.7,0,0,0.7
0.0048528,-6.6494e-13,0,1,0.7125,0,0,0.7125
0.00446,-4.0205e-13,0,1,0.725,0,0,0.725
0.0040671,-1.3916e-13,0,1,0.7375,0,0,0.7375
0.0036743,1.2372e-13,0,1,0.75,0,0,0.75
0.0032814,3.8661e-13,0,1,0.7625,0,0,0.7625
0.0028885,6.495e-13,0,1,0.775,0,0,0.775
0.0026071,7.1185e-13,0,1,0.7875,0,0,0.7875
0.0024371,5.7368e-13,0,1,0.8,0,0,0.8
0.002267,4.3551e-13,0,1,0.8125,0,0,0.8125
0.002097,2.9733e-13,0,1,0.825,0,0,0.825
0.001927,1.5916e-13,0,1,0.8375,0,0,0.8375
0.0017569,2.0989e-14,0,1,0.85,0,0,0.85
0.0015869,-1.1718e-13,0,1,0.8625,0,0,0.8625
0.0014169,-2.5536e-13,0,1,0.875,0,0,0.875
0.0012468,-3.9353e-13,0,1,0.8875,0,0,0.8875
0.0010768,-5.317e-13,0,1,0.9,0,0,0.9
0.00090677,-6.6987e-13,0,1,0.9125,0,0,0.9125
